topic_id,phi_sum,theta_sum,h,top_terms,label,genre_historical,genre_gothic,genre_sea,genre_travel,genre_domestic,auth_AUSTEN,auth_MELVILLE,title_REDBURN HIS FIRST VO,title_THE CONFIDENCE MAN H,title_NORTHANGER ABBEY,title_MANSFIELD PARK,title_EMMA,title_TYPEE A ROMANCE OF T,title_WHITE JACKET OR THE ,title_LOVE AND FREINDSHIP ,title_MOBY DICK OR THE WHA,title_PIERRE OR THE AMBIGU,title_LADY SUSAN,title_SENSE AND SENSIBILIT,title_OMOO ADVENTURES IN T,title_PERSUASION,title_MARDI AND A VOYAGE T,title_ISRAEL POTTER HIS FI,title_PRIDE AND PREJUDICE,author,genre,title,0,1
27,27377.861813472755,42.879135529860505,8.11,mr miss know said mrs thing well,27: mr miss know said mrs thing well,0.005254130533741946,0.027603875872227908,0.003293858395439843,0.008470095215647221,0.11661076441137601,0.114534123680092,0.00544086849495277,0.007119103330363508,0.014532728258541766,0.09423663524205778,0.05426803285212222,0.29927922528478557,0.003177720863816692,0.0026992014106959374,0.07547274370244261,0.0019895178215952065,0.009484441306747854,0.08686851550381461,0.0663749587856351,0.0040103848998146495,0.08313315115045093,0.002967388328070377,0.005254130533741946,0.09149082127334847,auth_AUSTEN,genre_domestic,title_EMMA,-1.4792535,-2.8457968
28,3751.4190391041466,13.813059642086534,5.71,us let said nothing could exclaimed thus,28: us let said nothing could exclaimed thus,0.0010592276806355872,0.0032556658687932167,0.012147696138370107,0.026214692272246477,0.005946769564526158,0.00574317257029109,0.013993929416010967,0.007093035279528978,0.013045215949127085,0.0037531761427676896,0.0025984817699648065,0.0022719540443247644,0.01924501395288772,0.005207629778442277,0.01822872238511514,0.006005451135334928,0.003120377987273844,0.018467927705511363,0.002243042480462747,0.043558862173940886,0.0005200329399631701,0.021790667741046103,0.0010592276806355872,0.0038176933262995157,auth_MELVILLE,genre_travel,title_OMOO ADVENTURES IN T,0.9535937,-1.9153565
29,3942.4113958784624,13.808367250618048,7.43,old look go white see thats aye,29: old look go white see thats aye,0.017723020897063076,0.006036747973719005,0.01897030485899221,0.011665202220556507,0.0016812614808593067,0.0016118191447488715,0.015611787830908148,0.006144359154093992,0.01902008402767449,0.0009330763111533128,0.0015168597731974598,0.002549972926029862,0.0037275202904890558,0.019665679646231293,0.001449051473430615,0.0447559853473419,0.0074245885135394984,0.0020784036167652603,0.001997914342729995,0.006884004939845225,0.0021012097742173696,0.005524281152139927,0.017723020897063076,0.0004270149719315159,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA,-0.08188356,-2.045597
30,259.41330399274864,1.6941550732542185,6.71,wind anything old door neither fell dinner,30: wind anything old door neither fell dinner,7.225297286215505e-05,0.0015664056312102998,0.0008782036112718329,0.004033446228581009,0.0006351455013334257,0.0012144191321717126,0.0015159283330692544,0.002968339093353581,0.007566768777283082,0.006876351717462064,0.000254902979862254,3.551562582602815e-05,4.697003843244621e-05,0.001293164524201536,0.005411647770834392,0.00013499430941246496,0.0001224729235453457,0.001025666445514683,4.4761149940907706e-05,0.001808338436896428,3.1357499528009355e-05,0.00037233649365483025,7.225297286215505e-05,5.471928194037966e-05,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H,0.016053054,-2.0498626
31,7486.40355787574,25.246027416159198,7.92,whale great fish sea head may feet,31: whale great fish sea head may feet,0.00031459966475604653,0.002217759945314128,0.044598325019395466,0.01063181518738537,0.0009664904943332828,0.0008808557553296689,0.02935508422809304,0.005810699977366487,0.01482732116849328,4.384524184273065e-05,3.088075539016887e-05,0.00040235822595732415,0.006641483212605478,0.0015486815751588918,0.007460253687361941,0.1499827347119397,0.0028089121892405605,0.0018359725916762138,4.4761149940907706e-05,0.007681519441565916,3.1357499528009355e-05,0.005844239955687696,0.00031459966475604653,0.0001954596533684391,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA,0.24127401,-1.602812
32,32986.51528797499,95.56643092024714,8.93,little two old side soon water place,32: little two old side soon water place,0.14412209798513645,0.014383341026487709,0.08354117178128165,0.2212918137523666,0.00654200259681687,0.006995816942287131,0.10968215066061557,0.07719052299141209,0.016345557358291875,0.011431486189948126,0.007684651758310444,0.003765431850085393,0.4810227035781476,0.04694099524128326,0.014397652720455041,0.030080898471242817,0.01518603839431865,0.0016506938626382878,0.011209933528993375,0.3385395310863926,0.007055140229698275,0.1411826310842304,0.14412209798513645,0.004315124509186814,auth_MELVILLE,genre_travel,title_TYPEE A ROMANCE OF T,-1.3527298,-1.482722
33,8747.579515241163,19.782711072506114,8.08,captain could young made little among quite,33: captain could young made little among quite,0.01052165362815601,0.004871904003569184,0.013683001136770187,0.04092953522377148,0.011479097412990547,0.011413156310104913,0.018789078664624884,0.03227633594710399,0.012269992522812958,0.010768635207706604,0.004949396432275363,0.0005563274507108917,0.01178898787511029,0.017492226124385522,0.0003366045096045349,0.010823440211827927,0.0032684069217423424,0.008057516398445354,4.4761149940907706e-05,0.08446779684500011,0.11423548739915491,0.006472183667925997,0.01052165362815601,0.002092967900889977,auth_MELVILLE,genre_travel,title_PERSUASION,-0.31591353,-1.5995586
34,3715.3417616868574,12.21157079581056,6.75,room door two see book table let,34: room door two see book table let,0.01631076851315899,0.038650667545622484,0.007270025603167592,0.004970920999624218,0.004904292566086174,0.004778131696553372,0.01248902918724909,0.01599572841703752,0.010444807469685546,0.003545010939506976,0.005904071000708207,0.002810055277564954,0.0007134152384001941,0.008090972876594356,0.011583144441311944,0.010518646626743669,0.04819694258763635,0.0027266552049380437,0.003871366641560728,0.0007283040920156461,0.0024047926847096976,0.0010934016550106292,0.01631076851315899,0.0066718116839184945,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU,0.015922328,-2.0921676
35,1395.9639248234894,5.265917966510925,5.91,girls married wife dear woman daughters see,35: girls married wife dear woman daughters see,0.0027684372848077446,0.0032408209556862065,0.001742741360110702,0.008130460842130828,0.007160981134098983,0.0065746478695173196,0.0036117477389319376,0.005794092977091874,0.015732548314321068,0.0008437130576384856,0.0022638052266361138,0.0019974658269131295,0.0014355575198766646,0.0004074957715009253,0.0198160662275237,0.0011566377196594558,0.0038926660858570787,0.0041353913908960096,0.0045209937071594266,0.0025626418233444847,0.0028678239094329754,0.0011669437724688536,0.0027684372848077446,0.016577703550845393,auth_AUSTEN,genre_travel,title_LOVE AND FREINDSHIP ,0.00050025503,-2.066537
36,8334.182911060681,17.244916700141584,7.91,could room moment every felt last general,36: could room moment every felt last general,0.008762581592477807,0.03520477610670356,0.006244603382394677,0.015920713458454337,0.018095485108536567,0.02556829011169344,0.010241303297454115,0.0079093369340121,0.024933003888018952,0.09860893256190421,0.0163007040193071,0.011243054068665772,0.024649557608226957,0.0074022541250261436,0.012954755066034837,0.009224712330331732,0.01796329496537705,0.002120749241661734,0.045109111956803984,0.002409898339514283,0.01955225979624558,0.0029235360995046246,0.008762581592477807,0.01573041881541249,auth_AUSTEN,genre_gothic,title_NORTHANGER ABBEY,-0.42581844,-2.0707266
37,17710.141886850346,65.20270089602144,7.94,thou thee thy said oh lord cried,37: thou thee thy said oh lord cried,0.004235183848919298,0.14589889300506892,0.08469195854296355,0.004364770307441431,0.001431728105353328,0.0013263203691639537,0.0761878939914361,0.005831109380892174,0.008110943454435174,0.00029604475415168313,3.088075539016887e-05,0.00039266135547957095,0.0029225241327149234,0.005426251467890592,0.014235522069232044,0.06413281218001994,0.1854926499855815,0.000285593002730192,0.00106565332302823,0.0008511213648958746,3.1357499528009355e-05,0.16818300204878142,0.004235183848919298,5.4719281940379655e-05,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU,0.47225416,-0.9007766
38,2086.9428067049294,8.480670529742419,6.82,american war law officers english without yet,38: american war law officers english without yet,0.010517351122772741,0.006667285893868066,0.010149699780024946,0.008785367085988923,0.0010391451674931268,0.0009467670306812637,0.009605235695876325,0.005501556365984419,0.017440546678880807,4.384524184273065e-05,3.088075539016887e-05,3.551562582602815e-05,0.002103674893060541,0.04276094660646908,0.0009232020377998849,0.003579798553594893,0.008468396948366184,0.004860184709044146,4.4761149940907706e-05,0.0020562374664681365,0.0007735675010081947,0.001272606690330836,0.010517351122772741,0.001134381156918167,auth_MELVILLE,genre_historical,title_WHITE JACKET OR THE ,-0.008369091,-2.030885
39,12906.33460451569,26.711462844445194,8.44,said two come friend house well towards,39: said two come friend house well towards,0.2473150131604179,0.027974281053780654,0.02015529990793574,0.01923237154754893,0.0061970374383795886,0.007912784186290404,0.028315991677910816,0.06229133630385212,0.03306867428983163,0.024682824980386514,0.005008144451193985,0.0026826475764891006,0.008797731466237923,0.012665267755461418,0.01952982663093408,0.018279113570515034,0.02886932612637029,0.0026285777472671314,0.007211276429641266,0.008372743693392002,0.0015868198661721114,0.008162406747475336,0.2473150131604179,0.008436569974003922,auth_MELVILLE,genre_historical,title_ISRAEL POTTER HIS FI,-0.5335652,-1.9766719
